"Year","Tms","N.Bat","BatAge","mean_PA_AB_H"
1871,9,115,23.9,32.99
1872,11,143,23.5,32.8366666666667
1873,9,122,24.2,32.8133333333333
1874,8,120,24.8,31.3733333333333
1875,13,190,24.6,29.3366666666667
1876,8,121,25.4,29.4333333333333
1877,6,92,25.9,29.0566666666667
1878,6,77,24.7,28.2566666666667
1879,8,119,24.6,28.55
1880,8,127,24.8,27.1033333333333
1881,8,120,25.7,27.84
1882,14,229,25.5,27.74
1883,16,258,26.4,28.1266666666667
1884,33,638,25.2,27.0533333333333
1885,16,321,26.6,27.0833333333333
1886,16,326,26.7,26.8833333333333
1887,16,316,26.7,27.8033333333333
1888,16,331,26.7,26.62
1889,16,322,26.8,27.7066666666667
1890,25,510,27,27.8266666666667
1891,17,360,27.2,27.66
1892,12,265,27.4,27.17
1893,12,260,27.8,28.98
1894,12,264,27.7,29.3233333333333
1895,12,284,27.9,28.6166666666667
1896,12,272,28,28.19
1897,12,263,28,28.0433333333333
1898,12,299,28,27.0666666666667
1899,12,310,27.9,27.1933333333333
1900,8,188,28.5,27.4
1901,16,371,28.1,27.4966666666667
1902,16,390,28.3,26.99
1903,16,368,28.4,26.7466666666667
1904,16,364,28.4,25.8733333333333
1905,16,390,28.6,26.0666666666667
1906,16,412,28.5,25.7166666666667
1907,16,418,28.6,25.6466666666667
1908,16,440,28.5,25.5233333333333
1909,16,504,27.5,25.6866666666667
1910,16,508,27.2,25.9766666666667
1911,16,536,27.1,26.6766666666667
1912,16,604,26.8,26.69
1913,16,582,26.8,26.2
1914,24,740,27.2,25.94
1915,24,733,27.3,25.97
1916,16,527,27.3,26.02
1917,16,490,27.3,26.0733333333333
1918,16,489,28.1,26.31
1919,16,479,28.1,26.5633333333333
1920,16,495,28.1,27.29
1921,16,492,28.1,27.87
1922,16,497,28.5,27.7466666666667
1923,16,513,28.3,27.7866666666667
1924,16,529,28.5,27.65
1925,16,526,28.6,28.0366666666667
1926,16,502,28.6,27.3366666666667
1927,16,512,28.8,27.5066666666667
1928,16,505,28.4,27.59
1929,16,510,28.3,27.9633333333333
1930,16,493,28.2,28.2833333333333
1931,16,492,28.4,27.8833333333333
1932,16,491,28.5,28.0966666666667
1933,16,460,28.6,27.5733333333333
1934,16,487,28.5,27.9966666666667
1935,16,484,28.2,28.0533333333333
1936,16,481,28.3,28.32
1937,16,498,28.3,27.6933333333333
1938,16,502,28.4,27.7533333333333
1939,16,533,28.1,27.64
1940,16,514,27.9,27.63
1941,16,546,27.9,27.45
1942,16,512,27.9,27.0733333333333
1943,16,519,28.6,27.0933333333333
1944,16,548,29.3,27.3233333333333
1945,16,547,29.7,27.2633333333333
1946,16,633,29.2,26.9666666666667
1947,16,544,29,27.06
1948,16,542,28.5,27.2766666666667
1949,16,532,28.5,27.25
1950,16,530,28.3,27.4433333333333
1951,16,543,28.7,27.3433333333333
1952,16,556,28.5,26.94
1953,16,534,28.4,27.2666666666667
1954,16,536,28.1,27.1366666666667
1955,16,599,28.3,27.0433333333333
1956,16,552,28.3,27.0033333333333
1957,16,563,28.5,27.28
1958,16,580,28.4,26.9333333333333
1959,16,571,28.5,27.01
1960,16,575,28.2,27
1961,18,620,28,27
1962,20,702,27.9,27.1166666666667
1963,20,695,27.6,26.68
1964,20,700,27.4,26.7666666666667
1965,20,702,27.3,26.6433333333333
1966,20,714,27.3,26.66
1967,20,718,27.3,26.4933333333333
1968,20,676,27.6,26.1666666666667
1969,24,849,27.4,26.7233333333333
1970,24,849,27.6,27.0066666666667
1971,24,828,27.6,26.6433333333333
1972,24,824,27.5,26.4666666666667
1973,24,710,27.6,27.0333333333333
1974,24,741,27.4,26.9966666666667
1975,24,725,27.3,27.0533333333333
1976,24,706,27.6,26.8766666666667
1977,26,738,27.4,27.2233333333333
1978,26,741,27.7,26.7366666666667
1979,26,721,28,27.08
1980,26,760,28.2,27.1966666666667
1981,26,729,28.6,26.84
1982,26,743,28.7,27.1233333333333
1983,26,782,28.7,26.9933333333333
1984,26,762,28.6,27.0566666666667
1985,26,750,28.8,26.9566666666667
1986,26,771,28.7,27.01
1987,26,796,28.3,27.2266666666667
1988,26,769,28.3,26.8366666666667
1989,26,797,28.5,26.84
1990,26,809,28.4,26.9133333333333
1991,26,816,28.4,26.9566666666667
1992,26,806,28.4,26.9066666666667
1993,28,900,28.4,27.22
1994,28,782,28.7,27.55
1995,28,901,28.6,27.4533333333333
1996,28,905,28.8,27.6666666666667
1997,28,1051,28.9,27.3933333333333
1998,30,1097,28.9,27.4033333333333
1999,30,1116,28.9,27.6033333333333
2000,30,1132,29.1,27.6366666666667
2001,30,1137,29.1,27.2466666666667
2002,30,1101,29.2,27.17
2003,30,1134,29.2,27.3166666666667
2004,30,1136,29.3,27.4833333333333
2005,30,1141,29.2,27.19
2006,30,1134,29.2,27.48
2007,30,1173,29.1,27.5166666666667
2008,30,1188,28.8,27.3433333333333
2009,30,1156,28.8,27.1933333333333
2010,30,1008,29.2,27.0166666666667
